category,task,confidence,original_review
performance/fps,optimize AI behavior and improve overall dev team efficiency,0.8,"For starters, Its pretty much just a core base game that was built on unreal engine 5. Feels like, the game is 50% AI slop and 50% dev team. Honestly, i have no idea what all the hype is about.."
other,Implement a system to disable shooting until a certain number of headshots are achieved.,1.0,Don't shoot before 100 headshots
other,Design new challenges for players in the rust belt setting,0.8,The game is fun and addictive. I cannot wait to see what the devs have in store for us. The possibilities are endless. Life in the rust belt is not only a challenge but a way of life.
performance/fps,Optimize character movement mechanics,0.8,she arc on my raider till i extract
netcode/desync,Optimize server synchronization,0.8,"The game was fun for the first few days but the player base is becoming more and more toxic. People pretending to be friendly, camping exfil, and gate keeping high tier loot. Can hardly progress because I can barely have a successful raid. And before anyone says 'skill issue' or 'git gud', no skills will help you when getting ambushed and shot in the back."
netcode/desync,Optimize server synchronization to reduce lag and improve responsiveness for players who get stuck,0.9,Game is Good but ive been stuck so many time and i cant extract because of it.It would be nice if there is an unstuck button
weapon/ai balance,Fix AI behavior,1.0,AI
performance/fps,Optimize gravity mechanics,0.8,"I went to fight robots, but the real enemy was gravity."
netcode/desync,"Optimize server synchronization to improve enemy detection and reduce desync, rebalance weapon damage curves to make shooting feel more consistent.",0.95,"Played like 50 hours at this point, the game is good at its core, fun to play and the arcs are a nice touch. Sadly I can't bring myself to fully enjoy the game since enemy footsteps basicly not there. Speaking of shooting, that also feels very inconsistant a lot of the time. Again, i want to love this game, but in this state, where i keep losing loadouts and items to shit that feels like i cannot do anything about is just frustrating."
netcode/desync,Optimize server synchronization for solo queue gameplay,0.8,i can only play solo queue or i get crash after crash. ive made a ticket and a post on their discord but i havent gotten any reply from the ticket or anything on the discord post.
netcode/desync,Optimize server synchronization,1.0,Crashing and instability
other,Refund policy,1.0,Vale los $40
netcode/desync,optimize server synchronization,1.0,Very good game but one game breaking issue needs attention.
netcode/desync,optimize server synchronization,0.9,"the game is actually very good, but after 1st quest I am getting server disconnect every 30sec with AREX0024 error. I can't even play the game!"
other,Improve Raider voice lines to avoid triggering negative emotions in players,0.8,Good game.
other,Implement a system where players who show off their items are more likely to be attacked by other players.,0.8,rule 1 of the wasteland people will kill you if you have stuff.. hide your stuff and act like a poor no ammo being and theyll undersestimate you well your freinds gun them down... so yeah dont show everyone your kit or they might lick their lips at it
netcode/desync,optimize server synchronization,0.9,"You ever see those viral videos of some guy kicking a stone around till It's perfectly spherical??
Well Embark Studios has managed to take a genre (Extraction Shooters) I found extremely jagged and unappealing, much like the stone in those videos and have managed to kick (Develop) it into something almost flawlessly smooth and pleasant.
I'm legitimately shocked by how much of a strangle hold this game has me in."
netcode/desync,optimize server synchronization,0.8,Runs incredibly smooth running it on a 1080ti and not a single performance issue.
social experience,Improve social features to encourage cooperation among players.,0.8,"No reason for anyone to help you, even your own team, so they don't. Not even an xp multiplier for extracting together so it's every man for himself."
netcode/desync,optimize server synchronization,0.95,"im gonna hnnggg, im arking... oh god im gonna raid"
netcode/desync,optimize server synchronization and rebalance weapon damage curves,1.0,"I have been playing Fortnite for 250 hours and it is definitely worth the $60 price tag. The game is very fun, but there are some issues that need to be addressed."
pvp experience,Add non-pvp option,1.0,FFS add a fkng non-pvp option. This community is so toxic. Should be a simple choice that would make the game much more enjoyable. Sweaty toxic griefers make this game unbearable at times.
weapon/ai balance,Balance weapon damage curves and implement a fairer PvP system,0.9,I'm enjoying ARC Raiders and I plan to keep playing it. I look forward to seeing how the game evolves and what new content gets added. But I'd be lying if I said it wasn't also a frustrating experience sometimes. Whether or not you enjoy it will probably depend on your tolerance for unconstrained and sometimes imbalanced PvP.
netcode/desync,optimize server synchronization to reduce lag and improve overall performance,0.8,"After about an hour of searching for a motor I finally found one only to be killed by a rat right before extracting. I've always preferred to be friendly towards strangers, but this interaction made me second guess my approach. The game is beautiful and the community is great, but there are some technical issues that need addressing."
performance/fps,Optimize in-game spending system or provide alternative ways for players to progress without relying on microtransactions.,0.95,"This was an expensive game for me. Not worth it, in my opinion, especially as there are more ""IN GAME SPENDING"" if you want to enjoy."
netcode/desync,optimize server synchronization,0.95,"Don’t play this game. It’s heroin disguised as free entertainment. Arc Raiders will devour every spare minute you have. You’ll start hearing electronic beeps in your sleep. Rusty gears will give you flashbacks. Apricots will make you sweat. Unless you plan on abandoning your social life, stay away. I have 80 hours since launch. Send help."
netcode/desync,Optimize server synchronization to reduce lag and improve overall performance.,0.8,Its good... Even if there is a voice changer that 89% of the men playing the game are using..
netcode/desync,optimize server synchronization,0.95,"1000% would recommend, just hope they fix the De-sync."
netcode/desync,optimize server synchronization,1.0,Game is literally unplayable for me. Connection to game server error every three minutes. Please fix
netcode/desync,Optimize server synchronization to reduce lag and improve gameplay experience.,0.8,"I tried again and again to find a reason to play this game, yet.. The core gameplay is fine, enjoyable and all but! You have to understand that this is an extraction shooter, hence high risk high rewards. However, the decision to make it a third person shooter is what makes the game unplayable, at least for me."
other,Improve sound effects,0.9,Its always them darn clankers
netcode/desync,optimize server synchronization,1.0,"After the most recent update, I have crashed at least twice in EVERY match I've played"
other,Complete missing features,0.8,Its an incomplete B+ game
netcode/desync,optimize server synchronization,1.0,This game needs to fix the loss of connection mid run.....I lost connection and died while it was re connecting . lost all my loot....
weapon/ai balance,Balance the gameplay between terrorists and innocents to create a more fair experience for all players.,0.95,solo play is trouble in terrorist town with mostly innocents and groups is all terror no detective 10/10 would 'don't shoot!' again
netcode/desync,optimize server synchronization,1.0,EVER SINCE THE SMALL UPDATE ON 11/6/25 I HAVE BEEN UNABLE TO LAUNCH THE GAME KEEPS SAYING INCORRECT FILES AND PIONEER ERROR AND BEFORE ANYONE ASKS YES I DID VERIFY THE INTEGRITY OF THE GAME FILES AND STILL GET THE SAME MSG WHEN I TRY TO LAUNCH. LET ME KNOW WHEN THIS GETS FIXED SO I CAN KEEP TAKING OTHER RAIDERS JUICY LOOT PLZ! (problem fixed back to raiding!)
stability/crashes,"Fix extract-point campers, toxic players that lie to you that they are friendly, general game crashes",1.0,"Imagine - having a great looting and fighting players for 20-30 min and then got camped at extraction. Imagine - game crashed mid-fight and after recconect you found that 2 more teams joined fight and now you surrounded. Imagine - you just started a match, got wrong turn and faced 3 enemy that obliterated you in an instant. I kinda like this game, but at the same time - it can be deppressing and ragebiting af."
netcode/desync,Optimize server synchronization for solo/duo/trio matches to improve player experience.,0.95,"This game has been amazing. Fun, accessible and challenging all at the same time."
netcode/desync,Optimize server synchronization to reduce lag,0.9,"I played this game and it was really fun. The graphics were amazing, but I noticed some lag sometimes. Overall, a great experience."
weapon/ai balance,Improve PvP balance and reduce camping behavior,0.8,"The PVP is a cancer on this game. It sucks with a controller and the camping in buildings, and the killing friendly players while they are extracting makes me want to uninstall."
pve/mission loop,Improve quest item sharing mechanics,0.9,"Make it so my group of 3 doesn't have to do the same 'one round' quest three separate times because the quest item is a one person lootable... But yet... other teams can pick up the item along with that one person? Fix it, I'll reverse my negative."
performance/fps,Optimize the inventory system,0.9,"Ignore if you like extraction shooters, but I've seen a lot of buzz for people that aren't fans of the genre and feel like I should weigh in:"
netcode/desync,optimize server synchronization,0.95,Good game but the pvp is really bad for me I am getting desync and I am getting shot while behind walls. I cannot win any fights because of this and it really ruins the game.
other,Fix the broken robot.,1.0,robot
netcode/desync,Optimize server synchronization,0.8,"Games like this will always have the same problem: PvP makes the game interesting, but there are only 2 ways to play it. Be nice and try to play the game and only fight the mean players, or be an asshole and kill everything on sight. If you're not an asshole, you are always at a disadvantage to the people who are taking out half your healthbar before you even know they exist."
weapon/ai balance,Improve game balance and mechanics,0.8,Everything eft wishes it was
netcode/desync,optimize server synchronization,0.9,game is really fun but is unplayable 50/50 times die to connectivity issue that happens every 30 seconds. if it was fixed then highly recommend this game but for now its just a dumb issue that needs fixing ASAP
weapon/ai balance,rebalance weapon damage curves,0.9,Every time i bring out good gear i get rolled by 4+ robots at spawn. seems to need balancing. pvp was great
netcode/desync,optimize server synchronization,0.9,"Fren D. Lee Questa entered my room in the Buried City apartments and was asking for a toaster for his quest but instead I got shotgunned, knocked out and my whole inventory taken."
netcode/desync,Optimize server synchronization,0.8,"very poor game design, if u find the rubber duck in the tutorial there is an unskippable cutscene of u getting blasted by enemy and they take ur bandages but they dont just take ur bandages they take ur duck and everything else it isn't until after where the tryhards tell u that you should have 'just known' to drop ur items before cutscene to keep ur duck but wtf i didnt know there was gonna be one now im review bombing bad game design gg i want my duck back"
netcode/desync,Optimize server synchronization,0.8,Wait a couple years. Bugs I have encountered so far:
netcode/desync,Optimize server synchronization for audio input/output,0.9,Only real issues I'm having are audio issues. When I switch my input to headphones and min to out put it crashes the game. I also get a corrupted or missing error that says reinstall game!
pvp experience,Implement a certain distance around exfil that prevents camping and make PvE mode only,1.0,great game pretty much enjoying every aspect of it thus far would like to see the exfil not be able to be camped like maybe a certain distance around exfil be pve only
netcode/desync,Optimize server synchronization to prevent desync and improve overall stability,0.8,terrible game. second raid in get wall hacked on by some low life loser. slow walked around a building to jump him and he instantly opens the door and 1 taps me never made a sound.
pve/mission loop,Improve PVE mechanics and player behavior to reduce hostile attacks,0.8,GAME PLAY IS FUN BUT NEEDS dedicated   PVE sick and tired of getting sucker killed by D HOLES who clam to be not hostile have some integrity
performance/fps,Fix game bugs and improve overall performance,0.8,"Meh... game is okay. Lots to fix, plenty of bugs and other issues. Can't recommend at this time."
netcode/desync,optimize server synchronization or rebalance weapon damage curves,0.8,after 80 hours into the game love the game play love the maps the fire fights are fun arc is fun . the sound is horrible im tired of being a good player just for a timmy to run full speed behind me with no sound and put me down i have a $340 head set and its honestly horrible and just ruins the fun and makes me want to get off everytime when this happens ill put down 3-4 people just for someone to flank with no sound? now timmy got a fat kit . please fix the sound
other,Fix Venator,1.0,"Good Game, but this review will not get changed until the Venator gets gutted into the ground."
netcode/desync,Optimize server synchronization to reduce lag and desync issues,0.8,She be Raiding my Arc til i Extract
weapon/ai balance,Improve game balance and user interface design,0.8,Nick don't like it so f*ck you
netcode/desync,Optimize server synchronization to reduce lag and desync,0.8,trash players friendly players are noobs tryhards fuckin kill everyone and dropping your EXISTENCE when u die so sooooo fucking annoying tbh....players gotta do better like the playerbase is gonna kill the game itself
performance/fps,Optimize mouse acceleration,0.8,The mouse acceleration is diabolical. People say you can fix by changing polling rate to 250hz but does dick all for me.
netcode/desync,Optimize server synchronization to prevent character from getting stuck near exit points,1.0,Character just got stuck meters away from an exit point. I was unable to move and lost everything including 2 epic items.
netcode/desync,optimize server synchronization,0.95,Had a bastion and a rocketeer obliterate me and it caused my game to crash. 10/10 would recommend.
netcode/desync,Optimize server synchronization for better player visibility in solo queue,0.8,"Great game with friends. Solo queue is miserable, everyone is either friendly, low gear, or they 3rd person peek every corner and piece of cover without ever exposing their body until they shoot. Very unfun. Embark should do what SCUM does and not render players in 3rd person unless you have a direct unobstructed line between both players"
netcode/desync,optimize server synchronization,1.0,당신이 저지르는 짓은 서버에 저장된다.
netcode/desync,optimize server synchronization,1.0,MADE MY PEEN WORK AGAIN
pve/mission loop,Add more content and variety to the gameplay experience,0.8,fills a void
netcode/desync,Optimize server synchronization to prevent robot explosions during extraction,0.9,"When play extract game with robot, robots go boom. Go boom extract, when robots robot. When extract? Robots boom go."
performance/fps,Optimize bot spawning mechanics to prevent sudden and unfair deaths.,0.95,Bots spawned right in front of me and killed. WTF? Top gear losted
weapon/ai balance,Add duo mode to balance teamplay,1.0,"DESPERATELY NEEDS DUO'S
A 2 man team don't stand much of a change running into a 4 man team, its unfair and unbalanced as team play is shoot on sight. solos are more friendly but i as much as i love the game until they add duo's i'll be disappointed."
netcode/desync,optimize server synchronization,0.8,"Sleep, work, raid GOOP, repeat"
netcode/desync,optimize server synchronization,0.8,"I love playing this game. I love what this game wants to be. Unfortunately, every third round I get shot through a wall or get killed while the shooter is in a dodge animation. Cheating is rampant and it doesn't seem like Embark is addressing it at all. I wish all cheaters have children that get colon cancer."
netcode/desync,optimize server synchronization,0.9,Getting Error Code AREX0003 over and over when launching into a map. This is sucks.
other,Improve graphics quality,0.8,pp poopoo
weapon/ai balance,Improve weapon balance and responsiveness,0.8,simply fire
weapon/ai balance,rebalance robot damage curves,0.95,great game but the robots need nerfed BAD
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.95,"Game is too Desyncy, shots registering while behind walls while others don't register at all. you should not be able to load into a raid late it makes the game boring, the Venator needs a nerf as well."
netcode/desync,optimize server synchronization,0.8,THIS FUCK ASS GAME IS SO FUCKING BAD HALF THE TIME U GRT RAPED BY A GOD DAM ROBOT THAT HAS THE BEST FUCKIJNG AIM OF ALL TIME THE U DIE TO A LITTLE FAGGOT IN A CONNOR
netcode/desync,optimize server synchronization,0.95,fix the terrible dsync issues its crazy a game made in 2024 has terrible dsync how am I getting hit when im behind a fucking wall? fuck this game
weapon/ai balance,rebalance weapon damage curves,0.8,Time spent is not worth playing. Only takes 2 A-Holes to shoot you and steal everything. Don't waste your money on this game. The grind is not worth the time.
pvp experience,Implement PvE-only mode or separate PvP and PvE modes to prevent griefing.,1.0,"Hours of playing the game can be wasted in a moment by a single dirt bag no life griefer. After finally getting something you needed for upgrade, or a good weapon, it somehow always ends up being the round you come across the griefers. Could've been a great game if they had different modes (pvp allowed and a separate PvE only) for starters, but its ruined by the people who have no lives and grief."
netcode/desync,"optimize server synchronization, increase tickrate",1.0,"Please fix the game, there's a lot of desync. Servers have a very low tickrate."
netcode/desync,optimize server synchronization,0.8,"The game is fun, but I hate how slow it runs on my computer."
netcode/desync,optimize server synchronization,0.9,great game except for the shit servers
netcode/desync,Optimize server synchronization,0.9,i have almost 20 hours on the game and i spent 18 hours trying to load into the game to play
matchmaking/servers,Implement duo queue,1.0,"Needs a duo queue, game is completely unplayable with 2 people."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,doesnt seem like it has a direction very confused game and vision and its pretty boring once the hypes worn off nothing todo really and just insanely stale with over powered AI shooting through walls and glitching and then everyone just camps
pve/mission loop,Implement PVE mode for multiplayer games,1.0,"Bought the game to play with my friends because it has PVE tag but the game ended up being just PVP. You barely do a thing until a party of 3 players gank you and end your fun :( Sorry Alisson, this game might be fun single player but multiplayer should have PVE only"
other,Implement pre-saved loadout options,1.0,Good game. But implement pre-saved loadouts plz
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.95,"bots are absolutely broken, they need a hard nerf. On top of that 1 out of 50 people don't care to be friendly. The community is toxic asf. do not recommend"
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.95,"Something complete and special in a market where the consensus is often 'Wait a year, it'll get good.' Arc Raiders shipped good. It shipped great. This game is a god damn masterpiece. An atmospheric, difficult, adrenaline-pumping, play-how-you-wish, social experiment."
netcode/desync,Optimize server synchronization and rebalance weapon damage curves.,0.9,"Started to love this game in the beginning – friendly community, cool vibes, and lots of great interactions. But then the PvP hit... and it’s a downhill ride from there."
netcode/desync,optimize server synchronization,0.8,"Pretty visuals, didnt encounter any glitches, but idk I feel like the incentive to third party boss's and extraction points is too high. For me it makes the prospect of building up to taking on boss arc's or pursuing higher value runs gets lost because I might as well camp in a bush then kill weakened players. It reminds me of the game play flaws with Hood: Outlaws & Legends. Maybe this is just a feature in extraction shooters like this, but for people that this matters to like me I would not suggest the game. Just to add a bit of a levelled opinion amongst the insane hype"
performance/fps,"optimize godray rendering, improve visibility in doorways and windows",0.8,"games good godrays are terrible for looking out doorways and windows impossible for gunplay, also when you close the game it doesn't actually close so i have to either use task manager or force close on steam, ive had a few times when i've forced closed closed my pc freezes"
netcode/desync,optimize server synchronization,0.9,"Great game. Needs some way to break out of a code error, like when I was stuck between a air duct and wall."
weapon/ai balance,Increase flexibility in weapon customization options,0.9,"Fun solo and fun with friends! First extraction shooter I enjoyed. Loads of fun encounters with friendlies and baddies alike xD!w PLEASE do NOT make free loadouts's limited in future! Its makes it less upsetting when you lose EVERYTHING is an epic topside raid, that you can just free loadout so its less punishing!"
netcode/desync,optimize server synchronization,0.8,Fix rock collision the amount of times I get stuck on a small rock that i should be able to walk over or at least jump over is insane. I legit lost a run because i got stuck on a pebble and couldn't move and had to wait for the games unstuck feature to pop up to then immidiatly be domed in the head after holding space to unstuck myself. Otherwise amazing game. I will change my review to positive the second i see collision issues addressed.
social experience,Add a noise gate to the party chat,1.0,Embark please add a noise gate to the party chat - I'm sick of hearing my people breathe
netcode/desync,optimize server synchronization and improve bug detection for AMD's video card software,0.8,so addicting. best extraction shooter out there yet. very devoted developers and i love the attention they put in their games BUT THE SUPPORT. wow . they have a button where you can get assistance immediatly on the menu and if you run a buggy video card software they even warn you. Yes im talking to you AMD.
netcode/desync,optimize server synchronization,0.9,This game doesn't load for me it comes up with the loading page then cuts off and doesn't load
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,Game is not optimize at all and how are you supposed to compete with no life gamers with maxed out skill tree if your a new player DO NOT GET THIS GAME . you are losing against any experience player right off the bat there is no way for you to run/loot or fight/loot against a experience player they will have weapons you cant even get ( until level up) and a skill tree that lets them chase you with no problem even if your football field away as a new player you will have by far the worst experience you will ever have because you just cant compete with nobody when your weapon does marshmallow damage and you got the same stamina as Dave blunts
netcode/desync,Optimize server synchronization to reduce lag for players using rocket launchers,0.8,I love the vibes and the rocketeer always fuck me up
performance/fps,optimize driver update process,0.8,awesome game i play on steam deck had fun until it asked me to update my drivers please fix this this game is fun
other,Add more content to the game,1.0,wish there was more content for my $40 but it was worth
netcode/desync,Optimize server synchronization,0.9,"good game but too many PvE enemies, so many drones makes PvP almost impossible at times"
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"I want to recommend this game so badly, I really do. But the amount of times I've been either walking around, or trying to escape gunfire just for the game to throw me under the map, where I'm unable to come back up and am forced to kill myself is insane. On maybe 4 or 5 seperate occasions, the game has given me the 'get unstuck' button, and every time its made my situation go from saveable to hopeless. I love the game, I love playing the game, but the game forces me to not play it."
netcode/desync,optimize server synchronization and rebalance weapon damage curves,1.0,"Had a good plan before release. Swapped plans to include PvP. Now the game is plagued to all hell with trigger happy campers not playing the rest of the game, camping extracts, and leaving 60% of bodies unlooted due to low capacity or trying to kill people whilst having full inventory."
netcode/desync,optimize server synchronization,0.9,"Fun game with great atmosphere, but matchmaking needs work:"
netcode/desync,optimize server synchronization,0.95,"I don´t know if anyone is experiencing the same issue as me. Every time since the update, the game crashes when you meet another player. 4 times in a row, lost so much loot. Total Bollocks"
netcode/desync,"rebalance weapon damage curves, optimize server synchronization",0.8,"The game itself is theoretically great. The atmosphere is fantastic and while its a PvPvE expedition shooter it rarely feels as sweaty as games like Escape from Tarkov. That being said I can only give this game a 2, maybe 3/5. Every map I play I load into quickly... EXCEPT the starter map. the one that you are ONLY allowed to play on until you've successfully played i think 8 full rounds? Yeah that map I have a 25% success rate of after playing it for hours. The game is unbalanced and needs some adjustments."
netcode/desync,Optimize server synchronization for better performance,1.0,gtx 1060 6gb i5 8400 32gb ram and cant get just a stable 60 fps . even the graphics aren't that mind blowing
performance/fps,Optimize creature AI to prevent unwanted interactions with players,0.8,Those boof ass birds be slimin me out constantly
netcode/desync,optimize server synchronization,0.8,I havent showered in a week because of this game.
netcode/desync,optimize server synchronization,1.0,Desync the game
netcode/desync,Optimize server synchronization to reduce lag and desync issues. Rebalance weapon damage curves for a fairer gameplay experience.,0.8,"Game is fun for the first 10 hours, repetitive for the next 10, and boring after that. Do not play if you are just a duo you will just get stomped by teams of 3 over and over and over. Progression is lacking. It is a shell of a game but has potential with 2-3 years of development."
other,Implement a mechanism to prevent raiders from killing players easily or improve the value of free loadouts.,0.8,"It's an okay game, there's a fair bit of thought gone into the game and level design, but there should be a mechanism to avoid raiders who just walk around killing you - even when you have a free loadout which isn't worth sh!t. Just makes the game pointless."
netcode/desync,optimize server synchronization,0.8,"I COMPLETED EXPEDITION AND STILL HAVE TO WAIT A MONTH FOR A 7 DAY WINDOW!!>>!>!????
Nothing left for me to do.... JUST WAIT. WAITING SIMULATOR."
netcode/desync,Optimize server synchronization for improved weapon responsiveness and balance in PVP.,0.9,"Nice visuals, great performance and an interesting setting! But the gunplay feels horrible, clunky and unresponsive, especially in PVP."
netcode/desync,optimize server synchronization,0.8,ARC go BRRRRRRRRRRRRR
other,"Improve racist character creation and skin designs, increase representation for normal-looking white people",1.0,"Woke racist character creation and skins. Zero representation of a normal looking white person or any of their features, which ironically is the largest group that is currently playing this game. In fact all the skins need improvement, besides more variation, really terrible compared to the world design."
weapon/ai balance,rebalance weapon damage curves,0.9,"Brother this game, honestly it´s like getting graped by three big black albino men. My wisdom tooth removal didn´t hurt as much as fighting those snitch drones. Borther why do I have to dump 3 mags into one of them to just start smoking? Make the game playable."
performance/fps,Optimize in-game purchases to reduce frustration and increase satisfaction among players.,0.8,absolute cashout
netcode/desync,optimize server synchronization,1.0,Couldn't get past the tutorial because the game constantly crashed - specifically EXCEPTION_ACCESS_VIOLATION. It appears to be affecting quite a few people.
netcode/desync,Optimize server synchronization to prevent desync issues,0.8,"Needs heavy bug fixing. People shooting me from doors that are closed on my screen, I've gotten stuck in the world dozens of times, raider hatch keys activating and then not letting me exit, sometimes the extracts just kill me for no reason even though I was perfectly healthy. I'd like to say that these bugs were uncommon but they were not. I might've had 40% more inventory value if not for these bugs."
netcode/desync,optimize server synchronization,0.8,"crash, connection issues, bad performance."
netcode/desync,optimize server synchronization,0.9,Love the game and look forward to the roadmap that has already been laid out
netcode/desync,Optimize server synchronization,0.8,"Fix the microphone problem everyone is having, cmon it's not even fun to play when you cant even coomunicate with others. Especially when 8/10 people just try to shoot you down no matter what even though you have free loadout"
other,Improve gameplay mechanics and graphics,0.8,ts fye
netcode/desync,optimize server synchronization,0.8,80% of the time - Don't Shoot! Both part ways freinds.... That other 20%.... How could you
weapon/ai balance,Improve game balance and mechanics,0.8,GAS
netcode/desync,optimize server synchronization,0.9,This shit RIPS
netcode/desync,Optimize server synchronization and rebalance weapon damage curves to prevent backstabbing and reduce the occurrence of spawn camping by Russian players.,0.95,"7/10 game, 3 points deducted cause of those backstabbing 'dont shoot im friendly' dumb russians. Game also has some issues with those damn russians again spawn camping you if you joined an already in progress game."
netcode/desync,Optimize server synchronization,0.8,"Can't pick the GPU I want the game to use, and I've tried everything. It defaults to the iGPU on my CPU, instead of the dedicated one I've got."
other,Improve graphics and sound effects,0.8,Fire
netcode/desync,Optimize server synchronization,0.8,"1st game
Exploring environment 
Notice fellow sapien
Start shooting
Sapien takes cover and emotes ""Don't shoot""
Me: ""Sorry""
Extract together"
netcode/desync,Optimize server synchronization,0.9,"Game has not booted since this first day i got it. I played the play test with no issue, played 6 hour with no issue. But now the game just doesn't boot. very annoying, as i enjoyed the time i spent on it."
weapon/ai balance,"Improve footstep sounds for raiders, adjust PvP balance to prevent teams of three from easily ambushing players.",0.95,"Game is amazing, pve fun, pvp good. But the foot steps when raiders run need to be turned up. ON extract a team of 3 shouldn't be able to run up on us for free. Game needs hunt showdown levels of sounds from raiders."
netcode/desync,optimize server synchronization,0.8,"THIS GAME IS OKAY BUT ATM THIS GAME SUCKS .. IMAGINE TRYING TO LOOT AND THEN GETTING AGGRO BY THE ARC'S JUST TO GET FUCKED BY THE AI WHILE TRYING TO FIGHT OFF OTHER RAIDERS,, THIS GAME IS EHHH IF YOU ACCEPT THAT YOU'LL GET 3RD PARTIED AND FUCKED BY THE AI"
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"I have about 40 hours invested in total, I am already burnt out with the poorly optimized release version. I tried on both new and old graphics drivers, and still suffered from constant crashes, once or twice per round.  I can run most other games on high or ultra depending and this one even crashes on medium. If they fix the game in the future, I may be willing to change my review. But until then, I will not be recommending this title to anyone."
netcode/desync,Optimize server synchronization,0.9,I’m ARCing it
netcode/desync,optimize server synchronization,1.0,Game cooks
weapon/ai balance,Improve resource management and weapon balance in PvP mode to make the game more engaging for players.,0.8,by far one of the worst extraction shooters I’ve ever played takes rediculously long to level anything at all skill tree is a nice touch i guess but you might as well run it down on anything or nothing at all as this game has no idea what balancing a pvp ve should play like so if you enjoy getting into a gunfight with players just for 5 bots with armor to spawn in and wipe your whole crew because craft items for shields and health are damn near nonexistant by all means this is the game for you as for me couldnt of been easier to uninstall
netcode/desync,Optimize server synchronization,0.9,"The game is great when i can boot it up. However, I have this horribe issue where I can't boot the game most of the time because the easy anti cheat bugs. Then I get a pop up saying 2 instances of the game are running and nothing can boot."
netcode/desync,optimize server synchronization,0.9,WE are cracking scrappy
netcode/desync,optimize server synchronization,0.9,love it but i have to restart my pc if i want to open it after exiting the game because in task manager it shows it running 4-6 times lol
weapon/ai balance,"rebalance weapon damage curves, add incentives for good behavior",0.9,"Game is fun until you realize there is no incentive to not be a rat and ruin other players entire runs, just camp by the resources that everyone needs/wants (look up an interactive map) or camp by the extraction and then kill the players when they turn their back on you. Hope you like having no loot"
netcode/desync,optimize server synchronization,0.9,"Don't buy this game until they fix the hit detection, so many time have i been shot around walls."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Most solo players are friendly (for the time being). But there are enough of those who just want to hunt down other players, to make it unenjoyable for the rest. The TTK (time to kill) is way too short for a game where other player's intentions are so ambiguous. So, it ends up being a handful of aggressive players skulking around and gunning down the peaceful ones before they can get a shot off. There is no disincentive for killing other players. You're not marked or flagged in the round and you're not match-made with other aggressive players. Unless they add matchmaking based on PVP kills or something similar, I will not be returning to this one."
netcode/desync,Ensure that players' stash items are properly synced across servers and can be easily accessed upon opening the game.,0.95,i open the game just make sure the stuff in my stash is still there hjelp
netcode/desync,optimize server synchronization and/or implement a system for players to abandon rounds with loot in case of crashes,0.95,"Good game, great game even. But for the love of all that is good in the world remove loading in mid match, I can't go and loot a high tier area if I have fifteen minuets to do so. And either remove all those sever errors because I can't load in sometimes or make sure that if the game crashes players can abandon round with the loot they brought in, I'm fine with leaving the things I collected topside but not my hand-crafted anvil that I will never see any use of."
stability/crashes,"Remove Russian and Chinese hackers from the game, change touch tips and loot mechanics.",0.8,Game will be great if they keep the russian and china hackers off the game. Sorry/not sorry for speaking the truth! AND FOR THE LOVE OF WHAT EVER YOU THINK IS IN THE SKY CONTROLLING CRAP ! THIS ISNT SUPPOSED TO BE TOUCH TIPS AND LOOT TOGETHER!!! KILL EACH OTHER !
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Runs really well. Only one crash after 6hrs of gameplay on pc
Update: After the update, I have had 9 crashes in 4 hrs.
Also, I understand that this is a pvpve game.  I am just getting tired of being deceived by people.  I rather be jumped than be lied to.  If I get killed by a team that’s cool it’s pvp.
Word of advice, just shoot on site.  There is no hope for humanity.  Arc has won, humans aren't worth saving."
netcode/desync,"optimize server synchronization, improve responsiveness of interface",0.8,"While an engaging game, it's currently hampered by technical issues to the point that I cannot recommend it. Problems range from server issues, including desync, to more simple things like 'stuck player' repeatedly putting you back into the same terrain. Often the interface doesn't respond at all, especially when it requires server interaction, to the point that it feels like player input is a second thought. Simply put, the game itself is often more dangerous than the gameplay."
netcode/desync,optimize server synchronization,0.95,This is the best video game I have played in the past 5 years once the desync issues are dealt with it will actually be 10/10 Embark y'all might be the 2nd best devs in the game rn 😳
netcode/desync,optimize server synchronization,0.8,"fucks you no players play together, drones see through walls waist of time"
netcode/desync,rebalance weapon damage curves and improve server synchronization,0.8,"not tarkov in a good way, might become one of the greats"
netcode/desync,optimize server synchronization,0.95,I’ll keep this short and maybe update it later. This is the most fun I’ve had with a shooter since I was a kid playing Halo 1&2 with friends. Top to bottom this game is a masterpiece. The interactions with other players are what make this game so damn fun and make each round feel unique. My only complaint is that their servers are dogshit and lead to some frustrating desync situations like getting shot around walls or corners. If they can improve the servers and continue adding quality content this game may end up being the best shooter of all time.
